"source_id","experiment_id","variable_id","member_id","window","window_start","window_end","has_file_overlap","file_count"
"ACCESS-CM2","historical","thetao","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,17
"ACCESS-CM2","historical","so","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,17
"ACCESS-CM2","historical","ph",,"2006-2014",2006-01-01,2014-12-31,FALSE,0
"ACCESS-CM2","historical","o2",,"2006-2014",2006-01-01,2014-12-31,FALSE,0
"ACCESS-CM2","historical","chl",,"2006-2014",2006-01-01,2014-12-31,FALSE,0
"ACCESS-CM2","historical","uo","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,17
"ACCESS-CM2","historical","vo","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,17
"ACCESS-CM2","historical","zooc",,"2006-2014",2006-01-01,2014-12-31,FALSE,0
"ACCESS-CM2","historical","zos","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,1
"ACCESS-CM2","historical","mlotst","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,1
"ACCESS-CM2","ssp126","thetao","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","thetao","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","thetao","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,29
"ACCESS-CM2","ssp126","so","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","so","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","so","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,29
"ACCESS-CM2","ssp126","ph",,"2030-2060",2030-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","ph",,"2050-2060",2050-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","ph",,"2090-2100",2090-01-01,2100-12-31,FALSE,0
"ACCESS-CM2","ssp126","o2",,"2030-2060",2030-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","o2",,"2050-2060",2050-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","o2",,"2090-2100",2090-01-01,2100-12-31,FALSE,0
"ACCESS-CM2","ssp126","chl",,"2030-2060",2030-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","chl",,"2050-2060",2050-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","chl",,"2090-2100",2090-01-01,2100-12-31,FALSE,0
"ACCESS-CM2","ssp126","uo","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","uo","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","uo","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,29
"ACCESS-CM2","ssp126","vo","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","vo","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,29
"ACCESS-CM2","ssp126","vo","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,29
"ACCESS-CM2","ssp126","zooc",,"2030-2060",2030-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","zooc",,"2050-2060",2050-01-01,2060-12-31,FALSE,0
"ACCESS-CM2","ssp126","zooc",,"2090-2100",2090-01-01,2100-12-31,FALSE,0
