"source_id","experiment_id","variable_id","member_id","id","dataset_id","institution_id","table_id","grid_label","version","title","time_start","time_end","size_bytes","checksum_type","checksum","data_node","http_url","member_sort_key","is_first_available_member","url_preference"
"CNRM-ESM2-1","historical","siconc","r1i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206.siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc|esgf.nci.org.au","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206|esgf.nci.org.au","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134763410,"SHA256","3f8efd743091909b7a813062922d55fa8152925d675a07473837837dc5374a41","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","000000001_000000001_000000001_000000002",TRUE,0
"CNRM-ESM2-1","ssp126","siconc","r1i1p1f2","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126.r1i1p1f2.SImon.siconc.gn.v20190328.siconc_SImon_CNRM-ESM2-1_ssp126_r1i1p1f2_gn_201501-210012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126.r1i1p1f2.SImon.siconc.gn.v20190328|esgf.nci.org.au","CNRM-CERFACS","SImon","gn","20190328","siconc_SImon_CNRM-ESM2-1_ssp126_r1i1p1f2_gn_201501-210012.nc",2015-01-01,2100-12-31,69809605,"SHA256","4e82bb9eb92de405becbc7dbb96645a687f534aaeab3bf34d1152428d91c2de8","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp126/r1i1p1f2/SImon/siconc/gn/v20190328/siconc_SImon_CNRM-ESM2-1_ssp126_r1i1p1f2_gn_201501-210012.nc","000000001_000000001_000000001_000000002",TRUE,0
"CNRM-ESM2-1","ssp245","siconc","r1i1p1f2","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp245.r1i1p1f2.SImon.siconc.gn.v20190328.siconc_SImon_CNRM-ESM2-1_ssp245_r1i1p1f2_gn_201501-210012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp245.r1i1p1f2.SImon.siconc.gn.v20190328|esgf.nci.org.au","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_ssp245_r1i1p1f2_gn_201501-210012.nc",2015-01-01,2100-12-31,67530217,"SHA256","7dcc64abc180e7dccf22666bdf62f6262a2db369285e824ea469f9fb0c77adb1","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp245/r1i1p1f2/SImon/siconc/gn/v20190328/siconc_SImon_CNRM-ESM2-1_ssp245_r1i1p1f2_gn_201501-210012.nc","000000001_000000001_000000001_000000002",TRUE,0
"CNRM-ESM2-1","ssp585","siconc","r1i1p1f2","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585.r1i1p1f2.SImon.siconc.gn.v20191021.siconc_SImon_CNRM-ESM2-1_ssp585_r1i1p1f2_gn_201501-210012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585.r1i1p1f2.SImon.siconc.gn.v20191021|esgf.nci.org.au","CNRM-CERFACS","SImon","gn","20191021","siconc_SImon_CNRM-ESM2-1_ssp585_r1i1p1f2_gn_201501-210012.nc",2015-01-01,2100-12-31,64953817,"SHA256","db226ee2e5f439d5bfda898693dc271110c2b6cd600f3d23a0aaa0ecec185ce6","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp585/r1i1p1f2/SImon/siconc/gn/v20191021/siconc_SImon_CNRM-ESM2-1_ssp585_r1i1p1f2_gn_201501-210012.nc","000000001_000000001_000000001_000000002",TRUE,0
"IPSL-CM6A-LR","historical","siconc","r1i1p1f1","CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r1i1p1f1.SImon.siconc.gn.v20180803.siconc_SImon_IPSL-CM6A-LR_historical_r1i1p1f1_gn_185001-201412.nc|esgf.nci.org.au","CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical.r1i1p1f1.SImon.siconc.gn.v20180803|esgf.nci.org.au","IPSL","SImon","gn","1","siconc_SImon_IPSL-CM6A-LR_historical_r1i1p1f1_gn_185001-201412.nc",1850-01-01,2014-12-31,134118621,"SHA256","009f3ddac3efbe31cbe505addd2942b1516f0adebd010cdc9b0f96a47f92f512","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r1i1p1f1/SImon/siconc/gn/v20180803/siconc_SImon_IPSL-CM6A-LR_historical_r1i1p1f1_gn_185001-201412.nc","000000001_000000001_000000001_000000001",TRUE,0
"IPSL-CM6A-LR","ssp126","siconc","r1i1p1f1","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126.r1i1p1f1.SImon.siconc.gn.v20190903.siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_201501-210012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126.r1i1p1f1.SImon.siconc.gn.v20190903|esgf.nci.org.au","IPSL","SImon","gn","1","siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_201501-210012.nc",2015-01-01,2100-12-31,65292727,"SHA256","28b1dec563aa6f69b93cbb326e057dbe1ce9f082793e148e0522e560d563b190","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_201501-210012.nc","000000001_000000001_000000001_000000001",TRUE,0
"IPSL-CM6A-LR","ssp126","siconc","r1i1p1f1","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126.r1i1p1f1.SImon.siconc.gn.v20190903.siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_210101-230012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126.r1i1p1f1.SImon.siconc.gn.v20190903|esgf.nci.org.au","IPSL","SImon","gn","1","siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_210101-230012.nc",2101-01-01,2300-12-31,151047978,"SHA256","023841a598142eaead0ea45f32cd69e3514a057d4402f28b7e6f8100abcc98f3","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_210101-230012.nc","000000001_000000001_000000001_000000001",TRUE,0
"IPSL-CM6A-LR","ssp245","siconc","r1i1p1f1","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.SImon.siconc.gn.v20190119.siconc_SImon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp245.r1i1p1f1.SImon.siconc.gn.v20190119|esgf.nci.org.au","IPSL","SImon","gn","1","siconc_SImon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc",2015-01-01,2100-12-31,63231928,"SHA256","65b6e690b9561c7b34140a6d47420bf7f3a82d8c8b94479d8fc4abeb12524474","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/SImon/siconc/gn/v20190119/siconc_SImon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc","000000001_000000001_000000001_000000001",TRUE,0
"IPSL-CM6A-LR","ssp585","siconc","r1i1p1f1","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585.r1i1p1f1.SImon.siconc.gn.v20190903.siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_201501-210012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585.r1i1p1f1.SImon.siconc.gn.v20190903|esgf.nci.org.au","IPSL","SImon","gn","1","siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_201501-210012.nc",2015-01-01,2100-12-31,59800851,"SHA256","0eabf9e753add8e8e57b0bda347c117d920ef864a215d6d8afb079db9f9c8d2b","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_201501-210012.nc","000000001_000000001_000000001_000000001",TRUE,0
"IPSL-CM6A-LR","ssp585","siconc","r1i1p1f1","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585.r1i1p1f1.SImon.siconc.gn.v20190903.siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_210101-230012.nc|esgf.nci.org.au","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585.r1i1p1f1.SImon.siconc.gn.v20190903|esgf.nci.org.au","IPSL","SImon","gn","1","siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_210101-230012.nc",2101-01-01,2300-12-31,72313036,"SHA256","7f7ef9b36f913ef30327f7f0122e191bf76dbf604d664ab49489b2db0a3df93a","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_210101-230012.nc","000000001_000000001_000000001_000000001",TRUE,0
"MPI-ESM1-2-HR","historical","siconc","r1i1p1f1","CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.SImon.siconc.gn.v20190710.siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185001-185412.nc|esgf.nci.org.au","CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical.r1i1p1f1.SImon.siconc.gn.v20190710|esgf.nci.org.au","MPI-M","SImon","gn","20190710","siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185001-185412.nc",1850-01-01,1854-12-31,17124254,"SHA256","62cdc8cea23892cb5a47dd96ea026de9706c18a572091209bc39db3fa6db1c62","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185001-185412.nc","000000001_000000001_000000001_000000001",TRUE,0
