"filename","url","checksum_type","checksum","source_id","experiment_id","member_id","variable_id","table_id","grid_label"
"siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","SHA256","3f8efd743091909b7a813062922d55fa8152925d675a07473837837dc5374a41","CNRM-ESM2-1","historical","r1i1p1f2","siconc","SImon","gn"
"siconc_SImon_CNRM-ESM2-1_ssp126_r1i1p1f2_gn_201501-210012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp126/r1i1p1f2/SImon/siconc/gn/v20190328/siconc_SImon_CNRM-ESM2-1_ssp126_r1i1p1f2_gn_201501-210012.nc","SHA256","4e82bb9eb92de405becbc7dbb96645a687f534aaeab3bf34d1152428d91c2de8","CNRM-ESM2-1","ssp126","r1i1p1f2","siconc","SImon","gn"
"siconc_SImon_CNRM-ESM2-1_ssp245_r1i1p1f2_gn_201501-210012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp245/r1i1p1f2/SImon/siconc/gn/v20190328/siconc_SImon_CNRM-ESM2-1_ssp245_r1i1p1f2_gn_201501-210012.nc","SHA256","7dcc64abc180e7dccf22666bdf62f6262a2db369285e824ea469f9fb0c77adb1","CNRM-ESM2-1","ssp245","r1i1p1f2","siconc","SImon","gn"
"siconc_SImon_CNRM-ESM2-1_ssp585_r1i1p1f2_gn_201501-210012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/CNRM-CERFACS/CNRM-ESM2-1/ssp585/r1i1p1f2/SImon/siconc/gn/v20191021/siconc_SImon_CNRM-ESM2-1_ssp585_r1i1p1f2_gn_201501-210012.nc","SHA256","db226ee2e5f439d5bfda898693dc271110c2b6cd600f3d23a0aaa0ecec185ce6","CNRM-ESM2-1","ssp585","r1i1p1f2","siconc","SImon","gn"
"siconc_SImon_IPSL-CM6A-LR_historical_r1i1p1f1_gn_185001-201412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r1i1p1f1/SImon/siconc/gn/v20180803/siconc_SImon_IPSL-CM6A-LR_historical_r1i1p1f1_gn_185001-201412.nc","SHA256","009f3ddac3efbe31cbe505addd2942b1516f0adebd010cdc9b0f96a47f92f512","IPSL-CM6A-LR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_201501-210012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_201501-210012.nc","SHA256","28b1dec563aa6f69b93cbb326e057dbe1ce9f082793e148e0522e560d563b190","IPSL-CM6A-LR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_210101-230012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_210101-230012.nc","SHA256","023841a598142eaead0ea45f32cd69e3514a057d4402f28b7e6f8100abcc98f3","IPSL-CM6A-LR","ssp126","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/SImon/siconc/gn/v20190119/siconc_SImon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_201501-210012.nc","SHA256","65b6e690b9561c7b34140a6d47420bf7f3a82d8c8b94479d8fc4abeb12524474","IPSL-CM6A-LR","ssp245","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_201501-210012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_201501-210012.nc","SHA256","0eabf9e753add8e8e57b0bda347c117d920ef864a215d6d8afb079db9f9c8d2b","IPSL-CM6A-LR","ssp585","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_210101-230012.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/SImon/siconc/gn/v20190903/siconc_SImon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_210101-230012.nc","SHA256","7f7ef9b36f913ef30327f7f0122e191bf76dbf604d664ab49489b2db0a3df93a","IPSL-CM6A-LR","ssp585","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185001-185412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185001-185412.nc","SHA256","62cdc8cea23892cb5a47dd96ea026de9706c18a572091209bc39db3fa6db1c62","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185501-185912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_185501-185912.nc","SHA256","0b560d2800e620f596c64609df35d37bd3253962589954d335dd50d28b0859a6","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_186001-186412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_186001-186412.nc","SHA256","771600eff4fe241bb89b73d119a454e186725f8fb2cad923d1911047ef0fa7e3","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_186501-186912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_186501-186912.nc","SHA256","4f7f8282d07718d6c3e2eb447e407bb7cbf82dbc507fb9ff4cc0e0a0a9a28ee6","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_187001-187412.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_187001-187412.nc","SHA256","aee30c29b931193feb10343796ddaee949d8edf4e878e4688fcad10494dc1aba","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
"siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_187501-187912.nc","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/historical/r1i1p1f1/SImon/siconc/gn/v20190710/siconc_SImon_MPI-ESM1-2-HR_historical_r1i1p1f1_gn_187501-187912.nc","SHA256","98cffe2e34ed2651d9fa620aee80f200f58933b2569e01fa62299347b3c94514","MPI-ESM1-2-HR","historical","r1i1p1f1","siconc","SImon","gn"
